written 0 rows (0 ms)
written 3472000 rows  (3487 ms)
written 3480000 rows  (1732 ms)
written 3488000 rows  (3147 ms)
written 3496000 rows  (4367 ms)
written 3504000 rows  (4139 ms)
written 3512000 rows  (3095 ms)
written 3520000 rows  (2018 ms)
written 3528000 rows  (3792 ms)
written 3536000 rows  (4928 ms)
written 3544000 rows  (5089 ms)
written 3552000 rows  (1552 ms)
written 3560000 rows  (1123 ms)
written 3568000 rows  (983 ms)
written 3576000 rows  (985 ms)
written 3584000 rows  (998 ms)
written 3592000 rows  (1015 ms)
written 3600000 rows  (998 ms)
written 3608000 rows  (1127 ms)
written 3616000 rows  (1391 ms)
written 3624000 rows  (1099 ms)
written 3632000 rows  (1035 ms)
written 3640000 rows  (1289 ms)
written 3648000 rows  (1088 ms)
written 3656000 rows  (1122 ms)
written 3664000 rows  (1265 ms)
written 3672000 rows  (1004 ms)
written 3680000 rows  (1288 ms)
written 3688000 rows  (980 ms)
written 3696000 rows  (1232 ms)
written 3704000 rows  (1756 ms)
written 3712000 rows  (2337 ms)
written 3720000 rows  (1146 ms)
written 3728000 rows  (1726 ms)
written 3736000 rows  (2091 ms)
written 3744000 rows  (1521 ms)
written 3752000 rows  (1871 ms)
written 3760000 rows  (1832 ms)
written 3768000 rows  (1099 ms)
written 3776000 rows  (999 ms)
written 3784000 rows  (1031 ms)
written 3792000 rows  (1568 ms)
written 3800000 rows  (1267 ms)
written 3808000 rows  (1597 ms)
written 3816000 rows  (1121 ms)
written 3824000 rows  (1005 ms)
written 3832000 rows  (1416 ms)
written 3840000 rows  (1643 ms)
written 3848000 rows  (1325 ms)
written 3856000 rows  (1903 ms)
written 3864000 rows  (1029 ms)
written 3872000 rows  (1245 ms)
written 3880000 rows  (982 ms)
written 3888000 rows  (1014 ms)
written 3896000 rows  (1051 ms)
written 3904000 rows  (1354 ms)
written 3912000 rows  (1257 ms)
written 3920000 rows  (1372 ms)
written 3928000 rows  (1028 ms)
written 3936000 rows  (1661 ms)
written 3944000 rows  (1199 ms)
written 3952000 rows  (1133 ms)
written 3960000 rows  (993 ms)
written 3968000 rows  (1249 ms)
written 3976000 rows  (1002 ms)
written 3984000 rows  (1126 ms)
written 3992000 rows  (1333 ms)
written 4000000 rows  (1533 ms)
written 4008000 rows  (1127 ms)
written 4016000 rows  (1035 ms)
written 4024000 rows  (1149 ms)
written 4032000 rows  (1030 ms)
written 4040000 rows  (994 ms)
written 4048000 rows  (1000 ms)
written 4056000 rows  (1001 ms)
written 4064000 rows  (1840 ms)
written 4072000 rows  (1152 ms)
written 4080000 rows  (975 ms)
written 4088000 rows  (1203 ms)
written 4096000 rows  (1136 ms)
written 4104000 rows  (982 ms)
